"GeneID"	"Description"	"moduleColor"	"GS.expcrtB"	"p.GS.expcrtB"	"GS.Phytoene"	"p.GS.Phytoene"	"MM.turquoise"	"p.MM.turquoise"
"Niben261Chr06g0702010.1"	"TOM1-like protein 2"	"turquoise"	0.271712882055393	0.0617373345634044	0.473109106661886	0.00068391541744963	0.927923039729931	2.4300880062343e-21
"Niben261Chr03g0255013.1"	"Protein-serine/threonine phosphatase"	"turquoise"	0.210000077441661	0.151971462421906	0.401688313174207	0.00465653467072744	0.919773987093978	2.6114968359273e-20
"Niben261Chr14g0425009.1"	"Vacuolar protein sorting-associated protein 32-like 2"	"turquoise"	0.225302881851926	0.123640936857802	0.327074021675191	0.0232615199532366	0.914447524964242	1.08052801052016e-19
"Niben261Chr10g0513003.1"	"viridiflorene synthase"	"turquoise"	0.219315042750794	0.134209173138639	0.453407428999888	0.0012105022480771	0.912395024914029	1.82247555755523e-19
"Niben261Chr14g1157014.1"	"Hexosyltransferase"	"turquoise"	0.212506445422548	0.147030579912819	0.33642757161573	0.019387029301338	0.909561901641364	3.67331353864881e-19
"Niben261Chr03g1580008.1"	"Exostosin domain-containing protein"	"turquoise"	0.249410297928149	0.0873491870354205	0.437441343186565	0.00187664379811912	0.907462424535241	6.0849597463461e-19
"Niben261Chr09g1279010.1"	"Glycosyltransferase"	"turquoise"	0.237033786836737	0.104773174323372	0.387132179957824	0.00656142002817864	0.90488203856144	1.11335265387474e-18
"Niben261Chr17g0714001.1"	"AAA-ATPase At3g50940-like"	"turquoise"	0.230084223472246	0.115663093382964	0.429417573866922	0.0023210233394801	0.903066872803199	1.68562633017755e-18
"Niben261Chr11g0076002.1"	"Protein kinase domain-containing protein"	"turquoise"	0.214001014634553	0.144141390769306	0.410688228979969	0.00373822309532961	0.902633313159547	1.85892293890462e-18
"Niben261Chr16g1295005.1"	"ethylene-responsive transcription factor RAP2-12-like"	"turquoise"	0.208200924159581	0.155592816148429	0.426906885213386	0.00247802776502445	0.900642443016549	2.89665362966459e-18
"Niben261Chr08g0324001.1"	"Serine C-palmitoyltransferase"	"turquoise"	0.231840251191292	0.112833483982366	0.34059760432145	0.0178441333112951	0.900565230054366	2.94635867771259e-18
"Niben261Chr03g1671005.1"	"Inactive receptor-like serine/threonine-protein kinase"	"turquoise"	0.230968891892026	0.114230898673037	0.415954694782826	0.00327819183811644	0.896402827647281	7.22632167028426e-18
"Niben261Chr14g1513046.1"	"DCD domain-containing protein NRP"	"turquoise"	0.330327475596883	0.0218460662027555	0.501165411889993	0.000285280187493968	0.895536377319462	8.66854730334287e-18
"Niben261Chr01g0881006.1"	"Vacuolar protein sorting-associated protein 32-like 2"	"turquoise"	0.243756964241442	0.0950043145704567	0.371258164939137	0.00937876412104401	0.895152074425684	9.3924179209293e-18
"Niben261Chr09g0082011.1"	"Receptor like protein kinase s.2"	"turquoise"	0.291791504327143	0.0441852094977886	0.479715810975177	0.000560381255179029	0.89463999991017	1.04467235664868e-17
"Niben261Chr16g0378005.1"	"WRKY transcription factor, putative"	"turquoise"	0.240332566802775	0.0998878771139848	0.438598083826694	0.00181924577270547	0.890515494278795	2.41370747896089e-17
"Niben261Chr05g0255002.1"	"Receptor-like serine/threonine-protein kinase"	"turquoise"	0.274208512202588	0.0592919042334253	0.461495575832911	0.000961506062603946	0.889385248728188	3.01872245193569e-17
"Niben261Chr07g1140004.1"	"2-hydroxyacyl-coa lyase"	"turquoise"	0.210748507527823	0.150483431739922	0.336015150927312	0.01954556861976	0.887327887527472	4.507880988413e-17
"Niben261Chr10g0373006.1"	"Receptor-like serine/threonine-protein kinase"	"turquoise"	0.322362243246476	0.0254473193626676	0.57029607524783	2.31969595721407e-05	0.886759453336943	5.02914826169779e-17
"Niben261Chr10g0223004.1"	"Protein kinase domain-containing protein"	"turquoise"	0.292516682761656	0.0436369681313653	0.495251686604427	0.00034517621652446	0.886390112509384	5.39804443660998e-17
"Niben261Chr07g0857003.1"	"BTB/POZ domain-containing protein"	"turquoise"	0.212676864288553	0.146698992905839	0.449898713211526	0.00133536382925625	0.886202695461444	5.59494134491051e-17
