"GeneID"	"Description"	"moduleColor"	"GS.expcrtB"	"p.GS.expcrtB"	"GS.Phytoene"	"p.GS.Phytoene"	"MM.lightyellow"	"p.MM.lightyellow"
"Niben261Chr16g0338003.1"	"Peroxidase"	"lightyellow"	0.297831586196086	0.0397861919637761	0.46356557679047	0.00090565049681567	0.969024467090187	1.38831552209294e-29
"Niben261Chr05g0190002.1"	"Peroxidase"	"lightyellow"	0.445201784974802	0.00152044546306823	0.523140581286444	0.000136186567787494	0.965461240443977	1.63511263112694e-28
"Niben261Chr07g1055007.1"	"vetispiradiene synthase 3-like"	"lightyellow"	0.390501091957019	0.00606883741219247	0.479371899194171	0.000566278796064546	0.942512518925444	1.56796719334162e-23
"Niben261Chr10g0062001.1"	"extensin-2-like"	"lightyellow"	0.360524160057692	0.0118281645987929	0.4394307562838	0.00177889890683572	0.941728870662091	2.12272902958672e-23
"Niben261Chr19g0108008.1"	"Sucrose synthase"	"lightyellow"	0.483521528850646	0.000498713473256391	0.664626928111471	2.58385886397162e-07	0.911736548029145	2.14940920343427e-19
"Niben261Chr02g0044006.1"	"Cytochrome P450 monooxygenase"	"lightyellow"	0.227631552802957	0.119705114598907	0.339358353903596	0.0182913912503158	0.906812096321093	7.09741603382742e-19
"Niben261Chr06g0030015.1"	"cysteine proteinase inhibitor 1-like"	"lightyellow"	0.512670658744162	0.000194922975038234	0.608422980706094	4.48467219419169e-06	0.905743661827322	9.11720666728274e-19
"Niben261Chr17g1504003.1"	"premnaspirodiene oxygenase-like"	"lightyellow"	0.372445939100517	0.00913675980088789	0.573617803213549	2.02661016309648e-05	0.900427058274751	3.03733837379607e-18
"Niben261Chr04g0027004.1"	"Cytochrome p450 71d7"	"lightyellow"	0.235671700805365	0.1068430295388	0.346218970893138	0.0159298437403745	0.8965992836091	6.93268584214235e-18
"Niben261Chr08g0015001.1"	"Pectinesterase"	"lightyellow"	0.577778652291987	1.70760111899853e-05	0.635577032309174	1.21313840572051e-06	0.84745122675456	3.0632437924312e-14
