"GeneID"	"Description"	"moduleColor"	"GS.expcrtB"	"p.GS.expcrtB"	"GS.Phytoene"	"p.GS.Phytoene"	"MM.turquoise"	"p.MM.turquoise"
"Niben261Chr04g0615002.1"	"NtWRKY75"	"turquoise"	-0.20644244680903	0.159193105910533	-0.0518120148755112	0.726536063894887	0.929151877836108	1.6583361661614e-21
"Niben261Chr14g1089014.1"	"Expansin-like EG45 domain-containing protein"	"turquoise"	-0.247447402902494	0.0899505888408885	-0.0524550732495464	0.723276155169008	0.906686510827149	7.31058155436497e-19
"Niben261Chr18g0244009.1"	"guanine nucleotide-binding protein alpha-1 subunit"	"turquoise"	-0.249375994547708	0.0873941393413951	-0.0634590286583303	0.668287012640819	0.904080515789882	1.338484830205e-18
"Niben261Chr10g0363002.1"	"Myosin-binding protein 1"	"turquoise"	-0.243687184554179	0.0951019467002049	-0.094749608634287	0.521792690599004	0.903212568844136	1.63092673069746e-18
"Niben261Chr03g1215010.1"	"Inter-alpha-trypsin inhibitor heavy chain H3"	"turquoise"	-0.244862860816917	0.0934673445161019	-0.101479984506833	0.492513790802243	0.901513676640633	2.38836605724554e-18
"Niben261Chr07g0254012.1"	"Alkaline/neutral invertase"	"turquoise"	-0.212256235094975	0.147518422188386	-0.0137210545529889	0.926252541775752	0.899270888370106	3.91073756643951e-18
"Niben261Chr05g1008011.1"	"histidine protein methyltransferase 1 homolog"	"turquoise"	-0.256828302643185	0.0780446630287895	-0.118821924072689	0.421178663598661	0.895523541525336	8.69184295597814e-18
"Niben261Chr12g0266006.1"	"Chr5:613782-615039 REVERSE LENGTH=225"	"turquoise"	-0.256863019433509	0.078003029834713	-0.0826716661523191	0.576417085065248	0.894045160922804	1.18128175082318e-17
"Niben261Chr15g0023005.1"	"RING-CH-type domain-containing protein"	"turquoise"	-0.207000900761994	0.158043190473225	0.0466410837594944	0.752919261933847	0.890596195930304	2.37524377390743e-17
"Niben261Chr06g0189004.1"	"WEB family protein chloroplastic-like"	"turquoise"	-0.259721531103736	0.0746345953027384	-0.131861684754659	0.371646735674963	0.890226670566463	2.55627844433258e-17
"Niben261Chr07g1152016.1"	"NEP1-interacting protein-like 1"	"turquoise"	-0.202254161892499	0.168012918265014	0.00781703346692638	0.957946101940878	0.887225618177429	4.59770453359863e-17
"Niben261Chr03g1507004.1"	"Phosphonates import ATP-binding protein like"	"turquoise"	-0.201574779744933	0.169476373037726	-0.0315166271385618	0.831599495119003	0.883736225704979	8.91372391370037e-17
"Niben261Chr13g1151010.1"	"Nac domain-containing protein 62"	"turquoise"	-0.242103318755436	0.0973389760837195	-0.0756414404670717	0.609366265161784	0.873128853745022	5.89856706629892e-16
"Niben261Chr03g0467001.1"	"inactive poly [ADP-ribose] polymerase RCD1-like isoform X1"	"turquoise"	-0.240231736527644	0.100034550713955	-0.094080638737492	0.524749427288953	0.868892171666068	1.1974035471311e-15
"Niben261Chr05g1048001.1"	"Protein kinase domain-containing protein"	"turquoise"	-0.205742906637746	0.160642153419843	-0.063272691535874	0.669204959525469	0.868297127505606	1.31999900028111e-15
"Niben261Chr14g0728002.1"	"ras-related protein RABH1e"	"turquoise"	-0.231000441027424	0.114180074014709	-0.0438110645426079	0.76747987593033	0.866873869028219	1.66341649841397e-15
