Description	pcrtB22h_vs_GFP22h_filtered	pcrtB25h_vs_GFP25h_filtered	pcrtBAA_vs_GFPAA_filtered	pcrtBBB_vs_GFPBB_filtered	pcrtBYY_vs_GFPYY_filtered	pcrtB28h_vs_GFP28h_filtered	pcrtB34h_vs_GFP34h_filtered	pcrtB37h_vs_GFP37h_filtered	pcrtBZZ_vs_GFPZZ_filtered	pcrtBCC_vs_GFPCC_filtered	pcrtB40h_vs_GFP40h_filtered	pcrtBDD_vs_GFPDD_filtered	pcrtB46h_vs_GFP46h_filtered	pcrtB56h_vs_GFP56h_filtered	pcrtBEE_vs_GFPEE_filtered	pcrtB96h_vs_GFP96h_filtered
Niben261Chr01g0031010.1	HTH myb-type domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.904970824374543	-0.723634426183854	NA
Niben261Chr01g0085022.1	homeobox-DDT domain protein RLT2-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.67169345619406	-0.667082564171391	NA
Niben261Chr01g0243007.1	Solanesyl diphosphate synthase"	NA	NA	NA	NA	NA	-0.761895291583395	NA	NA	NA	NA	NA	NA	-1.20964639073231	-2.26642772528155	NA	NA
Niben261Chr01g0446002.1	Transcription initiation factor tfiid subunit 6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0482004.1	SEC14 cytosolic factor"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0512007.1	Phosphatidylinositol/phosphatidylcholine transfer protein SFH13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.615168733499917	-0.989978010390195	-1.05626519076492	-1.03541265057906	-0.76325071623121
Niben261Chr01g0516006.1	Unknown protein"	NA	NA	NA	NA	0.708098720975405	NA	NA	NA	NA	NA	NA	NA	NA	-0.855936602701485	-0.803905570671227	NA
Niben261Chr01g0516008.1	Chr5:22760088-22763539 REVERSE LENGTH=987"	NA	NA	NA	1.04209258391883	0.684350020907537	0.840799181467089	NA	NA	NA	NA	NA	NA	NA	-0.588713616136053	NA	NA
Niben261Chr01g0558001.1	PPM-type phosphatase domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0589010.1	Chr3:21492536-21497018 FORWARD LENGTH=1181"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0626001.1	Squalene synthase"	NA	NA	NA	1.20210509414136	1.02601656730995	1.09405131760151	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.798374149932744
Niben261Chr01g0648001.1	Glycosyltransferase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.20260059661746	NA	NA
Niben261Chr01g0712005.1	Glycosyltransferase family 92 protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.872626956019429	-0.985666560643859	NA	NA
Niben261Chr01g0716001.1	haloacid dehalogenase-like hydrolase domain-containing protein 3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.601789681658757	NA
Niben261Chr01g0719007.1	3beta-hydroxysteroid- dehydrogenase/decarboxylase-like"	NA	NA	NA	NA	NA	NA	-0.675139039323212	NA	-0.607891983839293	NA	NA	-0.725005432836321	-0.919511263929911	-1.35701162216346	-1.22302382025101	NA
Niben261Chr01g0917001.1	Protein-serine/threonine phosphatase"	NA	0.77557928452097	NA	1.19007099095539	1.02715206960958	1.34965345327657	1.03825884811983	NA	NA	NA	NA	NA	-0.639057369320656	NA	NA	NA
Niben261Chr01g0918006.1	Methyltransferase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0965006.1	coronatine-insensitive protein 1-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.683566558693546	-0.776914531161633	-0.804857782857593	NA
Niben261Chr01g1127002.1	O-fucosyltransferase family protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1184003.1	bZIP transcription factor 53-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.20570101997441	NA	NA	NA
