Description	pcrtB22h_vs_GFP22h_filtered	pcrtB25h_vs_GFP25h_filtered	pcrtBAA_vs_GFPAA_filtered	pcrtBBB_vs_GFPBB_filtered	pcrtBYY_vs_GFPYY_filtered	pcrtB28h_vs_GFP28h_filtered	pcrtB34h_vs_GFP34h_filtered	pcrtB37h_vs_GFP37h_filtered	pcrtBZZ_vs_GFPZZ_filtered	pcrtBCC_vs_GFPCC_filtered	pcrtB40h_vs_GFP40h_filtered	pcrtBDD_vs_GFPDD_filtered	pcrtB46h_vs_GFP46h_filtered	pcrtB56h_vs_GFP56h_filtered	pcrtBEE_vs_GFPEE_filtered	pcrtB96h_vs_GFP96h_filtered
Niben261Chr01g0349002.1	Chr4:13703417-13704655 REVERSE LENGTH=235"	NA	0.588439556535068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.609747173994717	NA	NA	NA
Niben261Chr01g0755001.1	HTH myb-type domain-containing protein"	NA	-1.55505206801536	NA	-1.4840128310057	-1.47368236160847	-1.35250885526451	NA	NA	NA	NA	NA	NA	NA	-0.674552524260729	NA	NA
Niben261Chr01g1380005.1	Histone-lysine N-methyltransferase SETD1B-like"	NA	NA	NA	NA	NA	NA	NA	NA	-0.616064498435235	NA	-0.908715006492755	-1.3988462960326	-1.51524127137691	-1.02759327932244	-0.969780134407588	1.12414777761768
Niben261Chr02g0078008.1	Lysine-specific demethylase jmj30"	NA	NA	NA	NA	NA	NA	-0.972491382622209	-1.20613002164618	-0.975728252753848	NA	-2.05344144775465	NA	-3.08874893219991	NA	NA	NA
Niben261Chr02g0727009.1	NERD domain-containing protein"	NA	0.8229055038619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g1263003.1	RING-type domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g1355017.1	5'-3' exoribonuclease"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g0170015.1	Prolyl 4-hydroxylase alpha subunit"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g0375004.1	Homeobox-leucine zipper protein anthocyaninless 2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.628308951227285	-1.09059464963572	-0.978383378671455	NA
Niben261Chr03g0877001.1	Protein RecA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g0990007.1	Methyltransferase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g1033006.1	short-chain dehydrogenase/reductase 2b-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.927784912267178	NA	-0.767134545210477
Niben261Chr03g1445013.1	Non-specific serine/threonine protein kinase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.11853866543112	-0.953473815518157	NA
Niben261Chr04g0178002.1	Vacuolar amino acid transporter YPQ1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.29494906110631	NA	NA	-1.51896367181849	-1.38912903547591	NA
Niben261Chr04g0216027.1	mitochondrial amidoxime reducing component 2-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.811952686728521	NA	NA
Niben261Chr04g1477003.1	Phosphoenolpyruvate carboxylase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.885385194933167	-0.804657987496251	-1.47690510910951	-1.26207535291857	NA
Niben261Chr04g1670013.1	Rab3 GTPase-activating protein catalytic subunit"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.661177886187253	NA	NA	NA	NA	NA
Niben261Chr05g0166006.1	Protein kinase domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr05g0186017.1	protein GIGANTEA-like"	NA	NA	NA	NA	NA	NA	-0.589003713141366	NA	NA	NA	-0.652988854477458	NA	NA	NA	NA	-0.596945383620206
Niben261Chr05g0475008.1	J domain-containing protein"	NA	0.77610538974252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr05g0857002.1	L-type lectin-domain containing receptor kinase s.4"	NA	NA	NA	NA	NA	-0.928545437408746	NA	NA	NA	NA	NA	NA	NA	-1.35806320813391	-1.11748302837144	NA
Niben261Chr05g0909012.1	Rna polymerase sigma factor sigd. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.41516551233539	NA	0.672327379889659
Niben261Chr06g0265008.1	Pyruvate kinase"	NA	0.715083825129611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr06g0490002.1	25.3 kDa vesicle transport protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.825291448218576	NA	-0.60166869266116
Niben261Chr06g0929002.1	Chr4:12909740-12911389 FORWARD LENGTH=344"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.722396351231325	NA	NA	-1.54257283031903	NA	NA
Niben261Chr06g1148038.1	UDP-N-acetylglucosamine--N-acetylmuramyl- (Pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase-like"	NA	0.679929996780727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.605329553310374	NA	-0.634692902369341
Niben261Chr07g0223004.1	Violaxanthin de-epoxidase. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.783921571596593	NA	1.31871352498193
Niben261Chr07g1296015.1	Calmodulin"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.11554293420489	1.2914678837084	NA	NA	NA
Niben261Chr07g1489022.1	ATP-dependent RNA helicase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.722592589870584	NA	NA
Niben261Chr08g0005020.1	FMN binding protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.04084871814533	NA	NA
Niben261Chr08g0111016.1	AB hydrolase-1 domain-containing protein"	NA	1.14859707578719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.765914044860116
Niben261Chr08g0220001.1	Phosphoglycerate mutase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.72999071209331	-1.64422377650789	0.619349233174017
Niben261Chr08g0374014.1	Pentatricopeptide repeat-containing protein. chloroplastic"	NA	0.912542905192643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.0715005000097	NA	NA
Niben261Chr08g0678012.1	RNA-binding protein 24-like isoform X1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.793377286728286	-0.643078867884932	NA
Niben261Chr08g0758018.1	Peptidase M"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.41471846704205	NA	NA	1.04152737575957
Niben261Chr08g1326003.1	protein indeterminate-domain 7-like"	1.05514478707937	1.00751613377125	1.00733226285192	NA	0.802598698664765	NA	NA	NA	NA	NA	NA	NA	1.34805958931985	NA	NA	NA
Niben261Chr09g0596011.1	Rna polymerase sigma factor sigd. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.69597826875319	NA	NA
Niben261Chr09g0640004.1	transcription factor bHLH130-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.12606146519841	NA	NA	-1.16926202455665	-0.940413282258482	NA
Niben261Chr09g1230004.1	Flavin-containing monooxygenase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.55746346921099	NA	NA
Niben261Chr09g1230017.1	Flavin-containing monooxygenase"	NA	1.52997370404313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.01009264796241	NA	NA
Niben261Chr10g0018008.1	PG_binding_1 domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.699544601228726	NA	1.09507736576869
