"GeneID"	"Description"	"moduleColor"	"GS.expcrtB"	"p.GS.expcrtB"	"GS.Phytoene"	"p.GS.Phytoene"	"MM.brown"	"p.MM.brown"
"Niben261Chr16g0184001.1"	"MACPF domain-containing protein CAD1"	"brown"	-0.237992871455533	0.103334295970903	-0.271167954370863	0.06228189020537	0.968750934149307	1.69448398776618e-29
"Niben261Chr03g0287030.1"	"Glutamyl-tRNA reductase"	"brown"	-0.232053887414863	0.112492868645315	-0.270856708573129	0.0625946431233874	0.954642450403375	7.67314223820731e-26
"Niben261Chr19g1449009.1"	"Glycosyl transferase, family 14 protein"	"brown"	-0.200266835199366	0.17231979624314	-0.25083559847052	0.0854973198993798	0.947395685390807	2.1457586255276e-24
"Niben261Chr15g1457004.1"	"Signal transduction histidine-protein kinase"	"brown"	-0.211570530604055	0.148861490149911	-0.282564280026007	0.0516646485592486	0.937316591895748	1.08441659418238e-22
"Niben261Chr04g1802009.1"	"O-acyltransferase"	"brown"	-0.217762205148304	0.137057023184455	-0.196627914945808	0.180411901618834	0.928669333372875	1.92837376802021e-21
"Niben261Chr04g1530004.1"	"3-ketoacyl-CoA synthase"	"brown"	-0.223770036138894	0.12628448987839	-0.335599390001839	0.0197064987845953	0.926307509806408	3.97543477618045e-21
"Niben261Chr12g0629011.1"	"Receptor-like serine/threonine-protein kinase"	"brown"	-0.238820185707028	0.102105352080331	-0.221618225139998	0.130067022225989	0.925434489825767	5.16280872361562e-21
"Niben261Chr17g0420005.1"	"Ethylene-responsive transcription factor abr1"	"brown"	-0.30284550648356	0.0364134558556971	-0.324867029809478	0.0242648818707078	0.922456077254547	1.23021277713204e-20
"Niben261Chr02g1456006.1"	"Ethylene-responsive transcription factor abr1"	"brown"	-0.251206755292389	0.0850201545218942	-0.31531735930836	0.0290341142668049	0.918026230365641	4.20581979305514e-20
"Niben261Chr10g0047016.1"	"MACPF domain-containing protein"	"brown"	-0.299350011763791	0.0387387696888413	-0.280452410719462	0.0535130047231662	0.916428714401924	6.44224534928678e-20
"Niben261Chr09g0502001.1"	"BRCT domain-containing protein At4g02110-like"	"brown"	-0.221930613850263	0.129512680008547	-0.196836528864818	0.179940747002857	0.915594574792984	8.02177076137622e-20
"Niben261Chr02g0046008.1"	"Protein kinase"	"brown"	-0.200955425538802	0.170818555781963	-0.215238809380907	0.141780613377828	0.912185639430668	1.92091680435887e-19
"Niben261Chr19g1275005.1"	"Fe2OG dioxygenase domain-containing protein"	"brown"	-0.319665291149026	0.0267739794635468	-0.344472934991939	0.0165047979989464	0.90798248701408	5.37587124069958e-19
"Niben261Chr01g1703002.1"	"Phenylalanine ammonia-lyase"	"brown"	-0.21318573939921	0.145712157153003	-0.281460799552373	0.0526238883874113	0.905806437378599	8.98477893758048e-19
"Niben261Chr01g1065004.1"	"histidine decarboxylase-like"	"brown"	-0.211820767852195	0.148370316277083	-0.258685596840709	0.0758417950795901	0.905322666208854	1.0054542064779e-18
"Niben261Chr08g0391006.1"	"Avr9/Cf-9 rapidly elicited protein 65"	"brown"	-0.241181395119	0.0986596873983384	-0.236006946698338	0.106330699561687	0.90513848947521	1.04928396321252e-18
"Niben261Chr08g0391003.1"	"Avr9/Cf-9 rapidly elicited protein 65"	"brown"	-0.322284437297759	0.0254848076767962	-0.34402030214609	0.0166566898952198	0.902441986069391	1.94067661044254e-18
"Niben261Chr06g1100010.1"	"Brassinosteroid LRR receptor kinase"	"brown"	-0.216576040581648	0.1392625904421	-0.129081349367369	0.381903490264016	0.900675554923481	2.87558364940467e-18
