"GeneID"	"Description"	"moduleColor"	"GS.expcrtB"	"p.GS.expcrtB"	"GS.Phytoene"	"p.GS.Phytoene"	"MM.purple"	"p.MM.purple"
"Niben261Chr11g1361010.1"	"Heat shock cognate 70 kDa protein"	"purple"	-0.634290770619704	1.29433280769791e-06	-0.497283267947594	0.000323426602087978	0.986018607941959	1.88509660498289e-37
"Niben261Chr05g1238006.1"	"protein FAM32A-like"	"purple"	-0.588009260195037	1.1094374255559e-05	-0.447600477542935	0.0014232526028451	0.983331226590277	1.0448811966555e-35
"Niben261Chr08g0455001.1"	"Heat shock protein, putative"	"purple"	-0.637589721299332	1.09553236741007e-06	-0.511016500627618	0.000206066587187488	0.978164234784891	4.92367321688719e-33
"Niben261Chr08g0455007.1"	"Heat shock protein, putative"	"purple"	-0.633576294302509	1.34158702247575e-06	-0.507245876360353	0.000233660604472348	0.975825176078653	4.9882531462686e-32
"Niben261Chr16g1185001.1"	"Heat shock 70 kDa protein"	"purple"	-0.625761998818005	1.97422211086759e-06	-0.456098252666311	0.00112192255351797	0.972108141254145	1.28632149626497e-30
"Niben261Chr07g0378013.1"	"17.3 kDa class II heat shock protein-like"	"purple"	-0.623953019574965	2.15567213543044e-06	-0.503200154144598	0.000266958497326764	0.972087420013185	1.30819192779373e-30
"Niben261Chr12g0719006.1"	"Non-specific serine/threonine protein kinase"	"purple"	-0.611653487258907	3.86319320165655e-06	-0.49922394579069	0.000303815831697571	0.971030291656761	3.04146395676559e-30
"Niben261Chr03g1491010.1"	"17.3 kDa class ii heat shock protein"	"purple"	-0.580557007488747	1.5210695881565e-05	-0.460488709854893	0.000989773510768457	0.970664348282203	4.04363267269081e-30
"Niben261Chr07g0378025.1"	"17.3 kDa class ii heat shock protein"	"purple"	-0.582997779713321	1.3728873597397e-05	-0.468730068591088	0.000778754262706303	0.969432743821941	1.02766286423696e-29
"Niben261Chr14g0648007.1"	"RNA-binding protein 42-like"	"purple"	-0.621969400636927	2.37235279911076e-06	-0.487772454186975	0.00043711646461978	0.967920462844538	3.07024705276542e-29
"Niben261Chr03g0183006.1"	"large proline-rich protein BAG6"	"purple"	-0.672154510082728	1.68305254684619e-07	-0.51528482278452	0.000178423880969767	0.967803757890135	3.33352777998043e-29
"Niben261Chr04g1664002.1"	"Alpha-galactosidase"	"purple"	-0.605433840734925	5.14092281048059e-06	-0.41358531840646	0.00347859652444393	0.966578958008724	7.76517067721193e-29
"Niben261Chr02g0789009.1"	"non-functional NADPH-dependent codeinone reductase 2-like"	"purple"	-0.625820272621063	1.9686198099419e-06	-0.504888094102599	0.000252575946999125	0.965640864227487	1.45311403487423e-28
"Niben261Chr01g1364017.1"	"AT-hook motif nuclear-localized protein"	"purple"	-0.577582479748735	1.72153657398943e-05	-0.459686689566396	0.00101281966729794	0.963780510439517	4.79009271596298e-28
