"GeneID"	"Description"	"moduleColor"	"GS.expcrtB"	"p.GS.expcrtB"	"GS.Phytoene"	"p.GS.Phytoene"	"MM.blue"	"p.MM.blue"
"Niben261Chr14g0118002.1"	"Vacuolar protein sorting-associated protein 35"	"blue"	0.321046732698852	0.0260873958848968	0.591455600037446	9.56246151233085e-06	0.974987478832333	1.08226791294236e-31
"Niben261Chr06g1026002.1"	"transmembrane emp24 domain-containing protein p24beta2-like"	"blue"	0.281558584516404	0.0525383082909459	0.564011000296647	2.98335508581518e-05	0.972199612420419	1.19388308783467e-30
"Niben261Chr16g0008011.1"	"Brassinosteroid insensitive 1-associated receptor kinase 1"	"blue"	0.272010524817886	0.0614415079902469	0.565773681263284	2.78152462577785e-05	0.97069439949159	3.95069496098548e-30
"Niben261Chr19g0563022.1"	"14-3-3-like protein GF14 kappa"	"blue"	0.246322262523701	0.0914686792222622	0.557032785518411	3.92154356951162e-05	0.969079304135647	1.33365571648535e-29
"Niben261Chr09g1373001.1"	"Proline-rich transmembrane protein like"	"blue"	0.304363879240344	0.0354398517564729	0.605203437635509	5.19502586339003e-06	0.968770130767436	1.67104655547489e-29
"Niben261Chr13g1151016.1"	"IAA-amino acid hydrolase ILR1-like"	"blue"	0.247326437779672	0.0901128534862849	0.537586236532354	8.14221699720891e-05	0.966365367699262	8.96998777760908e-29
"Niben261Chr15g0599007.1"	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1"	"blue"	0.316544904944723	0.0283804915854757	0.598008070287733	7.17470918866227e-06	0.966262508195389	9.61200503984073e-29
"Niben261Chr14g1166002.1"	"Glucan endo-1,3-beta-D-glucosidase"	"blue"	0.259374939029454	0.0750367863343328	0.539814440566403	7.50538928333698e-05	0.965864965486011	1.25307993704293e-28
"Niben261Chr17g0380013.1"	"DEAD-box ATP-dependent RNA helicase 48"	"blue"	0.32996578463067	0.0219997545159418	0.605915308550582	5.02954369314413e-06	0.965470661541919	1.62504916592166e-28
"Niben261Chr11g0100001.1"	"Tetraspanin-19"	"blue"	0.345211121361324	0.0162596051228548	0.604083096339456	5.46569191514973e-06	0.964176516202968	3.73571609525967e-28
"Niben261Chr01g1132003.1"	"Chaperone protein dnaJ 13"	"blue"	0.274651058349123	0.0588664863499805	0.594018405788333	8.55258476741301e-06	0.96279218459994	8.80346669966911e-28
"Niben261Chr16g1130003.1"	"Chr5:23596369-23596705 FORWARD LENGTH=85"	"blue"	0.365340029679543	0.0106686756904792	0.624530953031354	2.09608594723679e-06	0.962607141256336	9.8479349332707e-28
"Niben261Scf01408g0000013.1"	"ENTH domain-containing protein"	"blue"	0.349434507637465	0.0149154831644208	0.600822889781425	6.3293300732257e-06	0.960452682003128	3.49024552871628e-27
"Niben261Chr10g0051005.1"	"Atp-dependent dna helicase 2 subunit ku70"	"blue"	0.301742561937256	0.0371344117669536	0.593496052314665	8.75005543274644e-06	0.959428645738573	6.21493094705858e-27
"Niben261Chr06g0113013.1"	"Vesicle-associated membrane protein"	"blue"	0.289456205229579	0.0459890282921266	0.579155056899637	1.61270926959547e-05	0.95931850085519	6.60698972527712e-27
"Niben261Chr10g0120007.1"	"Electron transfer flavoprotein subunit beta"	"blue"	0.365292941218638	0.0106795215885846	0.676066471723524	1.3403550002528e-07	0.957035723872002	2.26302754075421e-26
"Niben261Chr14g0854001.1"	"Ras-related protein like"	"blue"	0.233833209429963	0.109686345644787	0.484347700438312	0.000486162817169674	0.956452327985411	3.06680255430024e-26
"Niben261Chr04g1509021.1"	"BRO1 domain-containing protein"	"blue"	0.255036493997954	0.0802172956726371	0.532046314658783	9.94516789789273e-05	0.956201009409983	3.49134072675325e-26
"Niben261Chr01g1256001.1"	"serpin-ZX"	"blue"	0.334844784169619	0.0200014452512662	0.629447688752847	1.647549547551e-06	0.95531836731793	5.47218347662993e-26
