Description	pcrtB22h_vs_GFP22h_filtered	pcrtB25h_vs_GFP25h_filtered	pcrtBAA_vs_GFPAA_filtered	pcrtBBB_vs_GFPBB_filtered	pcrtBYY_vs_GFPYY_filtered	pcrtB28h_vs_GFP28h_filtered	pcrtB34h_vs_GFP34h_filtered	pcrtB37h_vs_GFP37h_filtered	pcrtBZZ_vs_GFPZZ_filtered	pcrtBCC_vs_GFPCC_filtered	pcrtB40h_vs_GFP40h_filtered	pcrtBDD_vs_GFPDD_filtered	pcrtB46h_vs_GFP46h_filtered	pcrtB56h_vs_GFP56h_filtered	pcrtBEE_vs_GFPEE_filtered	pcrtB96h_vs_GFP96h_filtered
Niben261Chr01g0004003.1	Pentatricopeptide repeat-containing protein. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0034003.1	RNA polymerase sigma factor"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.589467387101777	NA	NA	1.2630847376685
Niben261Chr01g0045014.1	glutamate formimidoyltransferase-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.705765011941471	NA	NA
Niben261Chr01g0142004.1	Atp-dependent zinc metalloprotease ftsh 2. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0632005.1	Protein NEOXANTHIN-DEFICIENT 1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1063004.1	Fe2OG dioxygenase domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.76599445721895	NA	NA
Niben261Chr01g1184002.1	Mitogen-activated protein kinase"	NA	0.742517875896049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.809332915477789	NA	NA
Niben261Chr01g1287008.1	thioredoxin-like 4. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1343002.1	purine-uracil permease NCS1-like"	NA	0.731163797463378	NA	NA	0.64258280320597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0110032.1	replication protein A 70 kDa DNA-binding subunit A-like"	NA	0.977176405151823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.705630263547763
Niben261Chr02g0177003.1	GTP cyclohydrolase II"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.755785017936025
Niben261Chr02g0680001.1	Myb-like domain-containing protein"	NA	0.932656061395261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0682009.1	mediator of RNA polymerase II transcription subunit 28-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0691009.1	chloroplast sensor kinase. chloroplastic-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0776008.1	DNA ligase 1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.85960379403651
